id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
73,Math_1_ExtractMethod_182,ExtractMethod,P-1,1,VALIDO,16,21,5,5,4,-1,54.33,9559,2007,2531
74,Math_1_ExtractMethod_182,ExtractMethod,P-1,2,VALIDO,16,21,5,5,4,-1,51.52,10195,2007,2228
75,Math_1_ExtractMethod_182,ExtractMethod,P-2,1,VALIDO,16,21,5,5,4,-1,53.89,9648,1951,2301
76,Math_1_ExtractMethod_182,ExtractMethod,P-2,2,VALIDO,16,22,6,5,4,-1,57.54,9758,1951,2248
77,Math_1_ExtractMethod_182,ExtractMethod,P-3,1,VALIDO,16,20,4,5,4,-1,51.91,9319,1958,2408
78,Math_1_ExtractMethod_182,ExtractMethod,P-3,2,VALIDO,16,21,5,5,5,0,43.56,8877,1958,2489
79,Math_1_ExtractMethod_182,ExtractMethod,P-4,1,VALIDO,16,22,6,5,4,-1,43.08,9630,1979,2374
80,Math_1_ExtractMethod_182,ExtractMethod,P-4,2,VALIDO,16,22,6,5,4,-1,43.25,8244,1979,2156
81,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-1,1,VALIDO,2,2,0,0,0,0,42.93,4035,654,503
82,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-1,2,VALIDO,2,2,0,0,0,0,42.08,4250,654,623
83,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-2,1,VALIDO,2,2,0,0,0,0,41.77,3199,598,643
84,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-2,2,VALIDO,2,2,0,0,0,0,43.1,3188,598,672
85,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-3,1,VALIDO,2,2,0,0,0,0,38.03,3024,605,661
86,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-3,2,VALIDO,2,2,0,0,0,0,42.54,2883,605,674
87,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-4,1,VALIDO,2,2,0,0,0,0,39.89,2831,626,624
88,Math_1_ReplaceMagicNumber_194,ReplaceMagicNumber,P-4,2,VALIDO,2,2,0,0,0,0,38.22,3326,626,677
89,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-1,1,VALIDO,2,2,0,0,0,0,46.69,4022,658,618
90,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-1,2,VALIDO,2,2,0,0,0,0,41.41,3370,658,604
91,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-2,1,VALIDO,2,2,0,0,0,0,41.62,2350,602,605
92,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-2,2,VALIDO,2,2,0,0,0,0,38.16,2457,602,608
93,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-3,1,VALIDO,2,2,0,0,0,0,40.86,2533,609,602
94,Math_1_ReplaceMagicNumber_201,ReplaceMagicNumber,P-3,2,VALIDO,2,2,0,0,0,0,39.36,2770,609,605
